episode,total_steps,reward,avg_q,satisfaction,actor_loss,critic_loss
1,12,1.9896889,0.0,0.0,0.0,0.0
2,23,3.5552197,0.0,0.0,0.0,0.0
3,30,7.9549537,0.0,0.15000000000000008,0.0,0.0
4,40,16.456203,0.0,0.15000000000000008,0.0,0.0
5,50,-1.388196,0.0,0.15000000000000013,0.0,0.0
6,57,1.1470795,0.0,0.15000000000000008,0.0,0.0
7,70,18.093254,0.0,0.15000000000000008,0.0,0.0
8,80,14.594651,0.0,0.15000000000000013,0.0,0.0
9,91,5.928029,0.0,0.10000000000000007,0.0,0.0
10,109,32.78414,0.0,0.1999999999999999,0.0,0.0
11,116,3.1760807,0.0,0.15000000000000008,0.0,0.0
12,130,6.793419,0.0,0.0,0.0,0.0
13,140,4.434808,0.0,0.15000000000000013,0.0,0.0
14,151,13.688405,0.0,0.10000000000000007,0.0,0.0
15,161,7.270441,0.0,0.15000000000000008,0.0,0.0
16,173,10.247302,0.0,0.0,0.0,0.0
17,184,10.169395,0.0,0.10000000000000007,0.0,0.0
18,194,14.063114,0.0,0.15000000000000008,0.0,0.0
19,205,-0.48461056,0.02869579754769802,0.0,-2.037619888782501,40.76561609903971
20,213,-0.8344879,0.2855896055698395,0.10000000000000007,-2.615601420402527,38.88321900367737
21,231,31.008545,1.1771281957626343,0.05000000000000007,-3.6846339437696667,33.09783140818278
22,242,1.5268335,2.6215157508850098,0.10000000000000013,-5.258335850455544,23.177681402726606
23,258,27.359882,2.764915704727173,1.249000902703301e-16,-5.393420726060867,26.160621643066406
24,276,28.408485,2.4960691928863525,0.0,-5.316345426771376,28.24642997317844
25,294,14.187901,2.938295602798462,0.05000000000000018,-5.715369012620714,25.762878841824
26,311,14.201984,3.43377947807312,0.10000000000000013,-6.103077131159165,23.297351500567267
27,321,10.168313,3.6028220653533936,0.15000000000000008,-6.1650378704071045,21.236626529693602
28,329,-1.785707,3.415719747543335,0.10000000000000007,-6.075410187244415,23.505049109458923
