episode,total_steps,reward,accuracy,satisfaction,actor_loss,critic_loss
1,33,26.735107,0.48484848484848486,0.016257228765557238,0.0,0.0
2,60,21.273512,0.48148148148148145,0.06935012495915767,0.0,0.0
3,75,14.332255,0.4666666666666667,-0.004509587128424794,0.0,0.0
4,79,1.629661,0.5,0.23056540685973015,0.0,0.0
5,93,10.886162,0.5,0.11966249506483981,0.0,0.0
6,110,16.640474,0.5882352941176471,-0.05,0.0,0.0
7,154,46.350304,0.45454545454545453,-0.026596334394745694,0.0,0.0
8,197,43.510174,0.3023255813953488,0.028852135777153218,0.0,0.0
9,208,8.836961,0.36363636363636365,0.15176988750762932,0.0,0.0
10,245,35.16013,0.43243243243243246,-0.005354529888797505,0.0,0.0
11,259,12.741486,0.21428571428571427,0.13519172481881303,0.0,0.0
12,266,4.4900107,0.2857142857142857,0.07301505724368595,0.0,0.0
13,298,33.022263,0.46875,0.1591193304370639,0.0,0.0
14,310,10.646869,0.25,-0.05,0.0,0.0
15,317,4.4862,0.42857142857142855,0.1944563738050517,0.0,0.0
16,335,16.86623,0.4444444444444444,0.04765236017336874,0.0,0.0
17,357,18.075226,0.22727272727272727,-0.05,0.0,0.0
18,363,4.956999,0.8333333333333334,0.245483000105978,0.0,0.0
19,385,21.077963,0.36363636363636365,0.0586537502180524,0.0,0.0
20,404,19.806253,0.47368421052631576,0.15,0.0,0.0
21,431,28.80445,0.4444444444444444,0.1685182012325827,0.0,0.0
22,440,5.60546,0.1111111111111111,0.0,0.0,0.0
23,447,4.3171005,0.42857142857142855,0.15206381773089533,0.0,0.0
24,464,14.5638275,0.23529411764705882,0.14447080506778737,0.0,0.0
25,479,14.8431425,0.4666666666666667,0.15389421392828279,0.0,0.0
26,484,2.5105321,0.6,0.29878449874511226,0.0,0.0
27,494,8.936521,0.4,0.0009517625937432023,0.0,0.0
28,518,24.563116,0.5,0.15,0.0,0.0
29,524,4.293865,0.5,0.1335712612284211,0.0,0.0
30,576,60.397415,0.6538461538461539,0.11390384660510251,0.0,0.0
31,582,3.9598708,0.3333333333333333,0.2687465646001997,0.0,0.0
32,595,11.065475,0.15384615384615385,0.15352751326097322,0.0,0.0
33,612,15.248663,0.5882352941176471,-0.05,0.0,0.0
34,647,36.462856,0.4,0.06909238635616168,0.0,0.0
35,698,55.191936,0.45098039215686275,0.04103680203961514,0.0,0.0
36,748,56.539642,0.32,0.2986523090354216,0.0,0.0
37,766,17.422358,0.6666666666666666,0.15356448534456313,0.0,0.0
38,779,10.996197,0.5384615384615384,0.24329755610012857,0.0,0.0
39,788,6.486057,0.3333333333333333,0.05086929434130774,0.0,0.0
40,802,11.428707,0.42857142857142855,0.0721081759112601,0.0,0.0
41,815,12.4393635,0.38461538461538464,0.11461230912493282,0.0,0.0
42,837,20.166708,0.45454545454545453,0.1675940256086227,0.0,0.0
43,849,11.448393,0.4166666666666667,0.16999697253875334,0.0,0.0
44,863,15.293226,0.7142857142857143,-0.013774479691501265,0.0,0.0
45,878,13.450955,0.4666666666666667,0.18178717279289555,0.0,0.0
46,898,20.635021,0.5,0.28233413333364604,0.0,0.0
47,921,25.31353,0.391304347826087,0.09062888923625155,0.0,0.0
48,944,23.091642,0.43478260869565216,0.19541674510574836,0.0,0.0
49,953,7.523205,0.4444444444444444,-0.05,0.0,0.0
50,963,6.9234905,0.3,-0.04079520646061978,0.0,0.0
51,1030,64.92434,0.44776119402985076,0.024079275867948294,-6.190183101161834,55.368143635411414
