episode,total_steps,reward,accuracy,satisfaction,actor_loss,critic_loss
1,19,7.523389,0.5263157894736842,-0.05,0,0
2,30,-2.1792886,0.2727272727272727,0.1485858591870603,0,0
3,46,2.6633773,0.625,0.18888848120402485,0,0
4,56,-2.3249352,0.4,0.1762920243212196,0,0
5,84,6.461001,0.32142857142857145,-0.003628993619114118,0,0
6,98,-1.4271817,0.42857142857142855,0.06405807406849269,0,0
7,110,-2.955474,0.5,-0.05,0,0
8,125,-0.20359612,0.6,0.12495851078619219,0,0
9,133,-3.2657435,0.25,0.09759809001772833,0,0
10,151,1.4814744,0.5555555555555556,0.012634260635147013,0,0
11,157,-2.2917516,0.3333333333333333,0.0,0,0
12,164,-4.296373,0.0,0.09710585309488907,0,0
13,167,-2.7247748,0.6666666666666666,0.2985383494081262,0,0
14,189,5.1873765,0.5909090909090909,0.05693456335254647,0,0
15,214,7.588993,0.36,0.04458683712376775,0,0
16,245,8.392267,0.41935483870967744,-0.030103065207899467,0,0
17,255,-2.4288301,0.5,-0.05,0,0
18,266,-0.68325377,0.7272727272727273,-0.05,0,0
19,284,2.3250856,0.5,0.08160644550626665,0,0
20,301,-2.8607888,0.23529411764705882,-0.05,0,0
21,305,-4.009612,0.25,0.0970531032762914,0,0
22,312,-0.75464106,0.5714285714285714,0.18532772347673937,0,0
23,316,-3.2383814,0.25,0.19176160401493159,0,0
24,323,-3.4299011,0.14285714285714285,0.2958264744014075,0,0
25,346,7.8640447,0.5217391304347826,0.24990844775975013,0,0
26,365,-1.6353433,0.5789473684210527,0.014297874224809312,0,0
27,396,9.316938,0.5806451612903226,-0.05,0,0
28,406,-3.0608556,0.5,-0.05,0,0
29,422,2.1547666,0.375,0.25447259382308696,0,0
30,433,-0.8332734,0.6363636363636364,0.0535889899177166,0,0
31,436,-4.006831,0.3333333333333333,0.2623296535692929,0,0
32,442,-1.5172722,0.5,0.19633505738319812,0,0
33,449,-3.4432209,0.14285714285714285,-0.05,0,0
34,483,13.112082,0.4411764705882353,0.2666767361948429,0,0
35,500,0.31815624,0.47058823529411764,0.0588684776198095,0,0
36,523,7.383969,0.43478260869565216,0.016408862727869664,0,0
37,527,-4.246435,0.5,-0.05,0,0
38,531,-2.8425605,0.75,0.15556853431377093,0,0
39,583,21.801954,0.3269230769230769,0.19916875269524925,0,0
40,600,3.5504837,0.35294117647058826,-0.05,0,0
41,613,2.0940356,0.46153846153846156,0.13644663021796177,0,0
42,633,3.9133615,0.4,-0.010245240621674825,0,0
43,644,0.04275894,0.36363636363636365,0.0805425123644808,0,0
44,656,3.8169098,0.75,0.1415038056686707,0,0
45,668,0.6838956,0.4166666666666667,-0.02323197856410636,0,0
46,679,0.090964794,0.2727272727272727,0.1747219221393025,0,0
47,713,9.612028,0.47058823529411764,0.09742761817926336,0,0
48,731,4.0990252,0.5555555555555556,0.139258871637288,0,0
49,750,4.867046,0.5789473684210527,0.0,0,0
50,759,-3.192945,0.3333333333333333,0.06322126127695447,0,0
