episode,total_steps,reward,accuracy,satisfaction,actor_loss,critic_loss
1,12,8.290196,0.5,0.1003106094896926,0,0
2,36,19.458069,0.3333333333333333,0.17507333968590255,0,0
3,44,5.6968174,0.375,0.09603130561967389,0,0
4,56,11.813658,0.5833333333333334,0.15657329432284234,0,0
5,60,1.3610215,0.25,0.18788267573435558,0,0
6,66,3.2468817,0.5,0.15227673846893397,0,0
7,76,6.9690504,0.6,0.09594333415724336,0,0
8,87,9.006241,0.45454545454545453,0.11061359289503893,0,0
9,99,9.840366,0.3333333333333333,-0.05,0,0
10,108,6.2002726,0.4444444444444444,0.08851303785032731,0,0
