episode,total_steps,reward,avg_q,satisfaction,actor_loss,critic_loss,w_eng,w_sat,w_div
1,5007,-1.7135005,74.47899,0.15000000000000008,-79.44508470807757,53.24272154058729,0.3334837,0.30796292,0.3585534
2,5057,28.163353,73.898674,0.9999999999999997,-79.54796981811523,78.03974618315696,0.29279065,0.31698993,0.39021948
3,5068,0.8546796,73.69506,0.10000000000000007,-79.23200780695134,185.7915107011795,0.2811674,0.31134126,0.4074914
4,5079,0.69382024,74.87804,0.10000000000000013,-80.7137846513228,98.93261762098832,0.26826674,0.2763848,0.45534846
5,5088,0.38781023,74.08155,0.05000000000000007,-80.0620625813802,274.09075440300836,0.30299577,0.3267426,0.37026173
