episode,total_steps,reward,avg_q,satisfaction,actor_loss,critic_loss,w_eng,w_sat,w_div
1,9,0.6687057,0.0,0.05000000000000007,0.0,0.0,0.37203577,0.2737095,0.35425475
2,31,5.7264404,0.0,0.1500000000000002,0.0,0.0,0.37978372,0.26837373,0.3518426
3,41,1.6281772,0.0,0.15000000000000008,0.0,0.0,0.3822335,0.26519278,0.35257372
4,53,1.8762283,0.0,0.05000000000000002,0.0,0.0,0.37930593,0.26598582,0.3547082
5,66,2.7226484,0.0,0.15000000000000002,0.0,0.0,0.36251703,0.29941928,0.3380637
6,75,0.32463264,0.0,0.05000000000000007,0.0,0.0,0.38848096,0.27050543,0.3410136
7,93,4.828928,0.0,0.0,0.0,0.0,0.37725434,0.2739391,0.34880653
8,104,1.9390788,0.0,0.10000000000000007,0.0,0.0,0.37400883,0.2792011,0.3467901
9,128,7.418871,0.0,0.05000000000000024,0.0,0.0,0.37138367,0.2754674,0.35314894
10,138,1.3562763,0.0,0.15000000000000008,0.0,0.0,0.36993167,0.27926305,0.3508053
11,153,2.6418514,0.0,0.0,0.0,0.0,0.3673593,0.29538235,0.33725834
12,173,4.9437714,0.0,0.0,0.0,0.0,0.38468677,0.26695138,0.34836185
13,186,1.8807635,0.0,1.249000902703301e-16,0.0,0.0,0.36823085,0.28405133,0.34771785
14,202,3.1996222,0.03019358403980732,0.0,-1.699257602294286,9.310799916585287,0.3736135,0.278799,0.34758756
15,219,3.193873,0.538136899471283,0.10000000000000019,-2.795428290086634,9.67812686807969,0.3599662,0.30466205,0.33537176
16,237,3.6610522,1.9564446210861206,0.05000000000000002,-4.176212204827203,5.624507572915819,0.36348718,0.29042023,0.34609258
17,254,3.8516169,1.8920193910598755,0.10000000000000024,-4.193709373474121,5.320021867752075,0.37721482,0.27194726,0.35083795
18,279,7.5869303,2.416400671005249,0.0,-4.691238803863525,3.2154524374008178,0.38928193,0.2717138,0.33900428
19,286,-0.61706495,2.6213338375091553,0.15000000000000008,-4.8725272587367465,3.107432178088597,0.36408895,0.29357216,0.34233892
20,295,0.6728115,2.6023306846618652,0.05000000000000007,-4.873687585194905,3.7258247004614935,0.37663236,0.27311346,0.35025418
21,302,-0.2515242,2.667015552520752,0.15000000000000008,-4.879990782056536,2.9000771386282787,0.36331922,0.2922729,0.34440786
22,313,0.21556497,2.6221210956573486,0.0,-4.889914469285444,3.7045752785422583,0.37290373,0.28760722,0.33948898
23,338,5.615687,2.7158398628234863,0.05,-4.937027492523193,3.3488321542739867,0.38579953,0.2707207,0.34347978
24,360,4.3381853,2.770125150680542,0.0,-4.998166301033714,3.51122003251856,0.36482632,0.28931972,0.34585392
25,372,0.40573478,2.8493309020996094,0.0,-5.046432971954346,3.3351230323314667,0.38714573,0.26153928,0.351315
26,399,8.510823,2.8858869075775146,0.05000000000000007,-5.0837349008630826,4.2341921594407825,0.38029608,0.26617622,0.3535277
27,410,0.9863851,2.893737554550171,0.10000000000000007,-5.0935959815979,4.900952989404852,0.36763498,0.28533843,0.34702665
28,423,0.735096,3.1612367630004883,1.249000902703301e-16,-5.325473932119516,3.3604754163668704,0.38228595,0.26799464,0.34971938
29,441,5.115049,3.0642733573913574,0.05000000000000002,-5.249172369639079,4.3655268218782215,0.36706743,0.2782143,0.3547183
30,455,0.77311635,3.203626871109009,0.0,-5.37236179624285,4.139914035797119,0.35886085,0.2995478,0.34159133
