episode,total_steps,reward,avg_q,satisfaction,actor_loss,critic_loss,w_eng,w_sat,w_div,w_fair
1,50,45.233215,0.0,0.9975910790354816,0.0,0.0,0.29196325,0.18913113,0.34572858,0.17317708
2,100,41.73178,-0.027176067233085632,-0.05,-0.41677552461624146,3.4572558403015137,0.3002196,0.185892,0.34010696,0.17378141
3,150,42.53326,1.9205154180526733,0.9331463814135084,-4.217253994941712,6.443425056934356,0.35280156,0.1149055,0.38140258,0.15089037
4,163,10.04916,3.12571120262146,-0.05,-5.384748422182524,1.1424496128008916,0.32466784,0.13580048,0.37909183,0.1604398
5,213,49.977074,3.3495590686798096,0.8854343455153902,-5.613645849227905,1.0821393501758576,0.2882747,0.19184957,0.31599098,0.20388468
