episode,total_steps,reward,avg_q,satisfaction,actor_loss,critic_loss,w_eng,w_sat,w_div
1,12,1.0481982,0.0,0.05000000000000013,0.0,0.0,0.2961088,0.3199473,0.3839439
2,26,0.29622698,0.0,0.0,0.0,0.0,0.24758223,0.4082244,0.34419337
3,38,1.3087251,0.0,0.05000000000000007,0.0,0.0,0.2796345,0.36009446,0.36027107
4,47,-0.8937452,0.0,0.05000000000000007,0.0,0.0,0.26070288,0.38698918,0.35230795
5,55,-0.8663707,0.0,0.10000000000000007,0.0,0.0,0.23269816,0.41964677,0.34765506
6,66,1.520725,0.0,0.10000000000000007,0.0,0.0,0.28017792,0.33265984,0.3871622
7,76,0.7189164,0.0,0.15000000000000008,0.0,0.0,0.25749317,0.39399886,0.3485079
8,87,0.7434523,0.0,0.10000000000000007,0.0,0.0,0.25431138,0.36573848,0.37995017
9,101,2.5995321,0.0,0.10000000000000013,0.0,0.0,0.24799353,0.40596735,0.34603918
10,114,2.075532,0.0,0.15000000000000008,0.0,0.0,0.2671077,0.37342447,0.35946783
11,127,1.7915654,0.0,0.15000000000000002,0.0,0.0,0.29490924,0.31727952,0.3878112
12,140,0.8540456,0.0,1.3877787807814457e-17,0.0,0.0,0.2444696,0.40739942,0.34813094
13,151,-0.6048453,0.0,0.10000000000000007,0.0,0.0,0.2847615,0.34913558,0.3661029
14,158,-1.2888092,0.0,0.15000000000000008,0.0,0.0,0.28118494,0.34907562,0.3697394
15,172,0.5287266,0.0,0.0,0.0,0.0,0.2744885,0.3562715,0.36924
16,193,3.1148715,0.0,0.0,0.0,0.0,0.2267356,0.43673533,0.33652905
17,200,-0.05581069,0.0,0.15000000000000008,0.0,0.0,0.287385,0.33688352,0.37573147
18,235,13.253445,0.0,0.10000000000000002,0.0,0.0,0.23149246,0.4247489,0.34375867
19,245,-0.35732365,0.0,0.15000000000000013,0.0,0.0,0.2550102,0.3927327,0.35225713
20,255,0.02666521,0.0,0.15000000000000013,0.0,0.0,0.22464873,0.43719003,0.3381612
21,275,6.7015486,0.0,0.10000000000000007,0.0,0.0,0.27649346,0.3589886,0.36451796
22,299,7.0035267,0.0,0.05000000000000002,0.0,0.0,0.2883417,0.33746922,0.37418908
23,315,3.4076498,0.0,1.8041124150158794e-16,0.0,0.0,0.26683268,0.38272384,0.3504434
24,325,0.6085856,0.0,6.938893903907228e-17,0.0,0.0,0.29481542,0.31592837,0.38925624
25,361,13.968936,0.0,0.1999999999999998,0.0,0.0,0.27809513,0.36680496,0.3550999
26,369,-0.67592955,0.0,0.10000000000000007,0.0,0.0,0.22823556,0.43427986,0.3374846
27,382,1.9264636,0.0,6.938893903907228e-17,0.0,0.0,0.29472804,0.33773535,0.36753657
28,399,3.3115292,0.0,0.10000000000000007,0.0,0.0,0.25561595,0.39691064,0.34747335
29,406,-0.3144939,0.0,0.15000000000000008,0.0,0.0,0.28760132,0.32670277,0.38569596
30,414,-1.0914776,0.0,0.10000000000000007,0.0,0.0,0.24457239,0.40772036,0.3477073
31,424,0.11946607,0.0,6.938893903907228e-17,0.0,0.0,0.28260672,0.35580084,0.36159253
32,431,0.10261583,0.0,0.15000000000000008,0.0,0.0,0.29872596,0.32276425,0.37850985
33,439,-0.37839484,0.0,0.10000000000000007,0.0,0.0,0.29325855,0.3369261,0.36981532
34,455,2.9137764,0.0,0.1499999999999998,0.0,0.0,0.25226092,0.40152997,0.3462092
35,471,1.7219768,0.0,0.15000000000000002,0.0,0.0,0.2293125,0.4218125,0.34887502
36,479,-0.108576775,0.0,0.10000000000000007,0.0,0.0,0.28334895,0.34562108,0.3710299
37,487,-1.1301565,0.0,0.10000000000000007,0.0,0.0,0.23558104,0.41264015,0.35177875
38,500,1.3569033,0.0,0.1500000000000002,0.0,0.0,0.2434496,0.404805,0.3517454
39,516,3.4602478,0.0,0.0,0.0,0.0,0.2988393,0.31781748,0.38334316
40,532,1.8307424,0.0,6.938893903907228e-17,0.0,0.0,0.25615433,0.39359024,0.35025537
41,541,-0.74384546,0.0,0.05000000000000007,0.0,0.0,0.24408296,0.40915048,0.3467665
42,552,0.27660036,0.0,0.0,0.0,0.0,0.28187123,0.34586674,0.372262
43,559,-0.7924051,0.0,0.15000000000000008,0.0,0.0,0.27224043,0.3703167,0.35744292
44,570,0.7212994,0.0,0.10000000000000007,0.0,0.0,0.28495038,0.34016424,0.37488538
45,580,0.40206528,0.0,0.15000000000000008,0.0,0.0,0.23986842,0.4147695,0.34536207
46,592,-0.22684908,0.0,0.05000000000000007,0.0,0.0,0.23191758,0.4166329,0.35144958
47,614,7.3755875,0.0,0.14999999999999974,0.0,0.0,0.2604157,0.38762262,0.35196164
48,622,-1.1323411,0.0,0.10000000000000007,0.0,0.0,0.23820095,0.4121198,0.3496792
49,638,3.9659898,0.0,0.14999999999999997,0.0,0.0,0.26504916,0.38121748,0.35373336
50,663,6.390319,0.0,1.249000902703301e-16,0.0,0.0,0.26793644,0.3758875,0.35617608
51,683,4.8744106,0.0,0.0,0.0,0.0,0.2917952,0.32859084,0.3796139
52,693,1.5412827,0.0,0.15000000000000008,0.0,0.0,0.29964367,0.31932792,0.38102838
53,710,3.3234231,0.0,0.10000000000000013,0.0,0.0,0.222623,0.4367643,0.34061268
54,717,-1.5460079,0.0,0.15000000000000008,0.0,0.0,0.26689443,0.3750075,0.3580981
55,734,2.6216955,0.0,0.10000000000000007,0.0,0.0,0.2589088,0.3902824,0.35080883
56,742,-0.73583007,0.0,0.10000000000000007,0.0,0.0,0.27237678,0.36888805,0.35873514
57,763,3.9529057,0.0,0.0,0.0,0.0,0.29351407,0.3255821,0.38090384
58,782,5.2913713,0.0,0.15000000000000013,0.0,0.0,0.25439027,0.37038857,0.37522116
59,798,2.4327571,0.0,6.938893903907228e-17,0.0,0.0,0.23546179,0.42256793,0.3419703
60,814,2.943193,0.0,0.15000000000000013,0.0,0.0,0.2839435,0.32836333,0.38769317
61,824,0.738055,0.0,0.15000000000000008,0.0,0.0,0.27699196,0.36835042,0.35465765
62,841,2.001214,0.0,0.0,0.0,0.0,0.23033606,0.42349592,0.34616804
63,848,-1.4894476,0.0,0.15000000000000008,0.0,0.0,0.27076846,0.36962157,0.35961002
64,864,2.1554856,0.0,0.0,0.0,0.0,0.26996127,0.37331456,0.35672417
65,871,-0.23435807,0.0,0.15000000000000008,0.0,0.0,0.3004663,0.317915,0.38161877
66,897,7.7830906,0.0,0.10000000000000024,0.0,0.0,0.27408576,0.3682059,0.3577084
67,904,-1.4590616,0.0,0.15000000000000008,0.0,0.0,0.24075747,0.40580392,0.35343862
68,915,1.4487655,0.0,0.10000000000000013,0.0,0.0,0.28230724,0.33755445,0.3801383
69,928,1.8854051,0.0,0.1,0.0,0.0,0.2877388,0.33420232,0.37805888
70,951,6.931433,0.0,0.10000000000000013,0.0,0.0,0.2818694,0.33980283,0.37832782
71,961,0.045111418,0.0,0.15000000000000013,0.0,0.0,0.25297686,0.39676744,0.35025564
72,979,3.6285233,0.0,0.0,0.0,0.0,0.25497517,0.39084035,0.35418454
73,993,0.90298414,0.0,0.0,0.0,0.0,0.26266408,0.38420656,0.35312927
74,1000,-0.70642686,0.03733230009675026,0.15000000000000008,-0.47865986824035645,2.0443382263183594,0.27763778,0.36192003,0.36044213
75,1008,-0.6396694,0.23094452917575836,0.10000000000000007,-2.50335556268692,13.484495162963867,0.29837364,0.3243774,0.37724894
76,1018,0.8699331,0.7665851712226868,0.15000000000000008,-3.0305054426193236,10.234715366363526,0.29226774,0.32397836,0.38375393
77,1032,2.40178,1.9522274732589722,0.0,-4.199863246509007,7.308195182255337,0.25438526,0.3953226,0.35029218
78,1039,-0.7152567,2.1199870109558105,0.15000000000000008,-4.359604358673096,5.372414929526193,0.29666173,0.3284411,0.37489712
79,1046,-1.0324113,2.140829563140869,0.15000000000000008,-4.381514276776995,5.300388336181641,0.25454518,0.39603436,0.34942043
80,1053,-0.977993,2.253608226776123,0.15000000000000008,-4.459975038255964,6.296199185507638,0.28165027,0.35353142,0.36481833
81,1060,-1.3870153,2.358262777328491,0.15000000000000008,-4.6119721957615445,4.499010017939976,0.22765793,0.43270305,0.33963907
82,1072,-0.27403092,2.4641904830932617,0.0,-4.676837682723999,5.636700491110484,0.27656803,0.36091954,0.36251244
83,1079,-0.43514585,2.2506697177886963,0.15000000000000008,-4.507319246019636,6.726875373295376,0.27423403,0.36960027,0.35616577
84,1091,1.5024526,2.5416297912597656,0.05000000000000007,-4.794145703315735,4.778491934140523,0.28896397,0.33419448,0.37684157
85,1098,-1.0034039,2.5347580909729004,0.15000000000000008,-4.7394022941589355,4.738862957273211,0.25798342,0.3921949,0.34982166
86,1107,-1.4249556,2.5880954265594482,0.05000000000000007,-4.781258000267877,5.772017214033339,0.2662766,0.3719124,0.36181098
87,1115,-0.49311256,2.4078354835510254,0.10000000000000007,-4.612326979637146,5.781325548887253,0.286276,0.34484673,0.3688772
88,1131,1.9543867,2.6085119247436523,0.05,-4.796053946018219,5.593540668487549,0.3100763,0.32399538,0.36592832
89,1141,0.5954082,2.675424098968506,0.15000000000000002,-4.896236848831177,5.241290634870529,0.260105,0.39387834,0.3460167
90,1151,-0.7210109,2.755235195159912,0.15000000000000013,-4.918617486953735,5.11794159412384,0.27159423,0.37730095,0.35110486
91,1164,1.6101203,2.582486391067505,0.15000000000000013,-4.734575821803166,7.359103496258076,0.2339657,0.42402008,0.34201422
92,1174,-0.20952249,2.661285161972046,0.15000000000000008,-4.92422080039978,6.033704853057861,0.24046251,0.4196979,0.3398396
93,1200,6.783038,2.8443918228149414,0.0,-4.976797122221726,5.884517788887024,0.24548914,0.3978705,0.3566403
94,1213,2.8849332,2.967881917953491,0.15000000000000002,-5.127917729891264,5.2525491164280815,0.30126503,0.3103551,0.3883799
95,1220,-0.65309525,3.0912649631500244,0.15000000000000008,-5.217523847307477,5.454862594604492,0.2992159,0.32219353,0.37859055
96,1230,-0.7089238,2.8493709564208984,6.938893903907228e-17,-4.98691029548645,6.750494146347046,0.2494662,0.40504092,0.34549296
97,1239,-1.0693333,3.166088104248047,0.05000000000000007,-5.345374372270372,5.268222411473592,0.25033846,0.4055097,0.34415188
98,1257,1.1599731,3.048469066619873,0.0,-5.17059063911438,6.103061940934923,0.23070481,0.42596808,0.3433271
99,1264,-1.3325676,3.2568371295928955,0.15000000000000008,-5.342069217136928,6.6726266997201105,0.27649206,0.35380703,0.36970094
100,1275,-0.56999135,2.9657890796661377,0.0,-5.082813306288286,8.152516061609441,0.22237487,0.42838296,0.34924215
101,1286,0.18539643,3.1552255153656006,0.0,-5.240513194691051,7.027162725275213,0.2932479,0.32150564,0.3852465
102,1299,1.8064733,3.1909115314483643,0.15000000000000013,-5.3115218969491815,6.828837156295776,0.2307742,0.43190655,0.33731928
103,1306,-0.9188814,3.3627512454986572,0.15000000000000008,-5.426688466753278,6.496699878147671,0.24149324,0.41893822,0.33956856
104,1316,-0.29401875,3.349716901779175,0.15000000000000013,-5.443616580963135,6.8051848888397215,0.2491621,0.4080702,0.34276763
105,1345,8.25359,3.4388656616210938,0.0,-5.533810730638175,6.268237101620641,0.23856324,0.41708106,0.3443557
106,1353,-0.7716341,3.6322503089904785,0.10000000000000007,-5.695624530315399,6.627114415168762,0.2753523,0.3713293,0.35331848
107,1364,-0.7084291,3.681015729904175,0.0,-5.793377009305087,6.111664891242981,0.28871554,0.33346286,0.3778216
108,1389,6.694056,3.552122116088867,0.1500000000000003,-5.635289363861084,7.831517124176026,0.28674975,0.33141005,0.38184023
109,1402,1.4095175,3.7700014114379883,0.15000000000000008,-5.86097684273353,7.271283919994648,0.22844748,0.38056272,0.39098984
110,1410,-0.5373926,3.7423195838928223,0.10000000000000007,-5.827492594718933,7.036168128252029,0.26115245,0.3850102,0.35383734
111,1429,2.716848,3.9002420902252197,0.0,-5.944552798020212,7.239375440697921,0.24252743,0.40949214,0.3479804
112,1437,-0.95206165,4.140072822570801,0.10000000000000007,-6.1855921149253845,6.984972655773163,0.25865337,0.39043933,0.35090733
113,1451,1.5764894,4.011931896209717,0.10000000000000007,-6.025163343974522,7.731067453111921,0.26229313,0.3849664,0.35274053
114,1462,0.67177415,4.043084621429443,0.10000000000000013,-6.06875059821389,7.231407382271507,0.22714277,0.43291882,0.33993846
115,1470,-1.6544487,4.061977863311768,0.10000000000000007,-6.074994385242462,8.139239490032196,0.2571725,0.3914115,0.35141596
116,1480,0.5306926,4.136477470397949,0.15000000000000002,-6.197991275787354,8.321207761764526,0.27595264,0.36436993,0.35967743
117,1494,2.3313444,4.041202068328857,0.10000000000000007,-6.064284494944981,10.188376188278198,0.2409938,0.3729274,0.38607875
118,1504,0.93799496,4.246848106384277,0.15000000000000008,-6.200356674194336,9.218508386611939,0.25913072,0.38912493,0.35174435
119,1511,-1.0148456,4.402096271514893,0.15000000000000008,-6.518291745867048,6.893962451389858,0.25911862,0.39297158,0.34790978
120,1531,2.8364124,4.483660697937012,0.0,-6.490431261062622,7.809246134757996,0.24177948,0.4164326,0.3417879
121,1543,1.2179148,4.453175067901611,0.05000000000000013,-6.437213659286499,8.606174151102701,0.25259072,0.39300433,0.35440502
122,1553,0.5808048,4.659842014312744,6.938893903907228e-17,-6.672326278686524,6.877098894119262,0.29565462,0.31810805,0.38623735
123,1563,-0.4244783,4.356294631958008,0.15000000000000008,-6.358673429489135,10.18798794746399,0.24199465,0.40700218,0.3510032
124,1577,1.18923,4.71903657913208,0.10000000000000007,-6.693340812410627,8.610745515142169,0.2471819,0.40698776,0.34583032
125,1586,-0.7442887,4.986412525177002,0.05000000000000007,-6.964601622687446,7.405518637763129,0.26792413,0.3716519,0.360424
126,1605,2.4616392,4.826097011566162,0.05,-6.835853476273386,8.847878343180605,0.21778777,0.40680853,0.37540373
127,1617,-0.54941535,5.020886421203613,0.0,-7.005655924479167,7.55048680305481,0.23765182,0.4227341,0.33961406
128,1636,3.9822328,4.911715030670166,1.3877787807814457e-17,-6.967832113567152,9.725711282930876,0.28550857,0.33035752,0.3841339
129,1649,1.2736497,5.2076640129089355,0.15000000000000013,-7.231134781470666,8.645106563201317,0.22985803,0.3978764,0.37226558
130,1656,-1.6418021,4.950039386749268,0.15000000000000008,-6.97199821472168,9.554001263209752,0.22844478,0.42549473,0.3460605
131,1669,2.0615668,5.1442766189575195,0.15000000000000013,-7.192652555612417,10.117629858163687,0.2779045,0.35893843,0.36315706
132,1678,-1.0979524,5.284940719604492,0.05000000000000007,-7.350152174631755,10.26982111401028,0.27279305,0.3707851,0.35642186
133,1696,4.2730684,5.287907123565674,0.19999999999999996,-7.370278623369005,9.940380467308891,0.2520001,0.39508963,0.35291028
134,1717,4.55674,5.4985833168029785,0.0,-7.5775825182596845,9.352946553911481,0.24075964,0.42033163,0.33890876
135,1736,5.5361576,5.571798801422119,0.15000000000000013,-7.681660928224263,10.4574075498079,0.2929084,0.32683167,0.38025996
136,1755,4.1207886,5.771297454833984,0.05,-7.89651602192929,9.306513033415142,0.24530426,0.37673172,0.37796405
137,1771,3.1519759,5.840795993804932,0.15000000000000008,-7.981850773096085,10.011463567614555,0.25243777,0.39654982,0.35101238
138,1782,0.37988806,5.850750923156738,0.0,-8.040130962025035,10.439059300856156,0.28181997,0.3373336,0.38084644
139,1791,-1.6928596,5.655804634094238,0.05000000000000007,-7.836248556772868,11.693294896019829,0.2287602,0.4361862,0.33505365
140,1798,-1.4305372,6.346517086029053,0.15000000000000008,-8.524165630340576,9.423836435590472,0.22408824,0.43763047,0.3382812
141,1807,-1.2537429,6.075501918792725,0.05000000000000007,-8.28120067384508,8.44652016957601,0.22684845,0.42585406,0.34729755
142,1817,0.37512612,6.1910624504089355,6.938893903907228e-17,-8.330036783218384,12.229228687286376,0.28346756,0.34068552,0.37584692
143,1827,0.06536555,6.202368259429932,0.15000000000000008,-8.542845535278321,10.744989681243897,0.27895847,0.35282964,0.36821184
144,1847,2.2919405,6.327409744262695,0.0,-8.499804019927979,11.483265471458434,0.27756375,0.35866222,0.36377406
145,1857,0.28885436,6.6091814041137695,0.15000000000000013,-8.774275493621825,10.711822319030762,0.27452138,0.36948568,0.35599294
146,1870,2.3304012,6.442562580108643,0.15000000000000008,-8.70024006183331,11.452066788306603,0.2775815,0.3606841,0.36173442
147,1913,12.800175,6.708010673522949,0.0,-9.011477004650027,10.497678002645802,0.25874943,0.39573094,0.3455197
148,1921,-1.3189468,6.907938003540039,0.10000000000000007,-9.142892718315125,12.52710473537445,0.23215689,0.42868042,0.33916274
149,1931,0.9467814,6.782227993011475,6.938893903907228e-17,-9.098301792144776,13.439222431182861,0.27850974,0.35215965,0.3693306
150,1945,1.8885322,7.003152370452881,0.0,-9.352926118033272,12.645914111818586,0.27204567,0.37540257,0.35255176
151,1959,2.923852,7.179416179656982,0.10000000000000007,-9.585443156106132,9.603550740650721,0.24149552,0.37579033,0.38271415
152,1974,2.8053794,7.1772661209106445,0.05000000000000013,-9.57463124593099,13.155927880605061,0.26311776,0.38223022,0.354652
153,1984,0.6718507,7.287485599517822,0.15000000000000008,-9.657413673400878,12.858617877960205,0.2698582,0.3782878,0.351854
154,2002,4.564275,7.368486404418945,0.1999999999999999,-9.778392420874702,11.473879734675089,0.22324415,0.40459788,0.37215796
155,2013,-0.13994884,7.598791122436523,0.0,-10.066011775623668,12.86573314666748,0.23847742,0.41642296,0.3450997
156,2023,0.5894952,7.498486518859863,0.15000000000000013,-9.848447227478028,13.536002349853515,0.24843015,0.40168577,0.34988403
157,2034,-0.044708252,7.9182281494140625,0.0,-10.262323292818936,12.813648223876953,0.24663223,0.4064249,0.34694284
158,2045,0.81909823,7.831183910369873,0.10000000000000013,-10.314822977239436,12.43609350377863,0.2782672,0.3571737,0.3645591
159,2064,2.8840988,7.6126275062561035,6.938893903907228e-17,-10.090658489026522,15.268281535098428,0.24015456,0.42080864,0.3390368
160,2071,-0.86643124,7.756191253662109,0.15000000000000008,-10.374425343104772,14.064264706202916,0.24585092,0.41355938,0.34058967
161,2091,4.392292,8.060261726379395,0.1,-10.605578565597535,11.947921180725098,0.2933501,0.31933463,0.3873152
162,2106,1.1295359,7.8403215408325195,0.05000000000000013,-10.445902824401855,14.884255727132162,0.24615249,0.40988356,0.34396392
163,2113,-1.3630955,8.633809089660645,0.15000000000000008,-11.083586829049247,14.122834614345006,0.22359538,0.43056294,0.34584165
164,2124,1.7904017,8.357818603515625,0.10000000000000007,-10.83376320925626,13.516719297929244,0.3000445,0.32353377,0.37642166
165,2134,0.26126504,8.36791706085205,0.15000000000000008,-10.924131870269775,15.486642837524414,0.2983611,0.33346957,0.36816934
166,2144,0.35695052,8.780828475952148,0.15000000000000008,-11.390466976165772,12.783314323425293,0.24209283,0.4153715,0.34253567
167,2160,2.491539,8.903098106384277,0.15000000000000002,-11.405426502227783,12.193565338850021,0.23343483,0.42071673,0.34584844
168,2179,3.0847805,8.6304349899292,0.0,-11.248707670914499,14.841746832195081,0.2939635,0.3320038,0.3740327
169,2186,-0.6456835,8.759603500366211,0.15000000000000008,-11.58255672454834,14.574700355529785,0.2989742,0.3213996,0.37962624
170,2196,0.25816774,9.01922607421875,0.15000000000000013,-11.657515048980713,15.10685625076294,0.23566888,0.42034313,0.34398794
171,2207,0.9367821,9.106182098388672,0.10000000000000007,-11.738603852011941,16.96785900809548,0.26868606,0.3752899,0.356024
172,2214,-0.814188,8.993796348571777,0.15000000000000008,-11.770753587995257,16.086443492344447,0.27445024,0.37167412,0.35387567
173,2229,2.482023,9.022796630859375,0.0,-11.849804878234863,15.424042383829752,0.29135108,0.3342729,0.37437612
174,2257,10.474857,9.430548667907715,0.14999999999999958,-12.157314096178327,16.376304592405045,0.24140988,0.41171914,0.34687093
175,2273,5.2956476,9.2974271774292,0.15000000000000024,-12.088533997535706,15.967594027519226,0.2959129,0.32309183,0.3809952
176,2280,0.08023906,9.549983024597168,0.15000000000000008,-12.523970331464495,14.954892873764038,0.29060262,0.3252243,0.38417307
177,2310,8.608,9.639575004577637,0.0,-12.474608103434244,17.409909280141196,0.25653404,0.38953176,0.35393417
178,2325,0.9707267,10.072147369384766,0.0,-12.816283480326335,16.851433849334718,0.258518,0.38816923,0.35331276
179,2333,0.051420927,9.681774139404297,0.10000000000000007,-12.80219042301178,17.778732538223267,0.28933907,0.33126011,0.37940082
180,2362,9.472814,9.994504928588867,0.0,-12.973109968777361,21.261859597830938,0.2804504,0.35845113,0.36109847
181,2375,1.8706656,10.115675926208496,0.15000000000000013,-13.18327991779034,21.622474303612343,0.2549074,0.3871839,0.3579087
182,2394,2.8676953,10.45165729522705,2.3592239273284576e-16,-13.54250034533049,16.92919010865061,0.21810138,0.4484829,0.33341572
183,2401,-1.6159385,10.629402160644531,0.15000000000000008,-13.535659517560687,17.47397804260254,0.26148137,0.38318437,0.3553343
184,2423,5.9282684,10.8076171875,6.938893903907228e-17,-13.81409029527144,17.862121755426582,0.28595287,0.33408758,0.37995952
185,2438,2.0445983,10.947572708129883,0.05000000000000007,-14.147376569112142,19.105762926737466,0.2541074,0.39877242,0.3471202
186,2446,0.123206854,11.111724853515625,0.10000000000000007,-14.146490693092346,16.943971633911133,0.29852682,0.32458708,0.37688613
187,2460,1.9171295,11.220988273620605,0.10000000000000002,-14.319098200116839,18.81373507635934,0.21409488,0.41067204,0.37523308
188,2472,0.8693187,11.286206245422363,0.05000000000000007,-14.510870536168417,17.657646656036377,0.25644603,0.38500923,0.35854474
189,2490,4.4302845,11.401572227478027,0.05000000000000007,-14.563730504777697,22.29489591386583,0.2606497,0.3851573,0.354193
190,2499,-1.364749,11.189931869506836,0.05000000000000007,-14.43174680074056,24.15836058722602,0.2255364,0.43706948,0.33739406
191,2508,-0.12435889,11.81530475616455,0.05000000000000007,-15.122569931877983,18.72411961025662,0.28833967,0.34913766,0.3625227
192,2515,-0.845567,11.791994094848633,0.15000000000000008,-14.901653017316546,18.900288854326522,0.290239,0.34129822,0.36846277
193,2522,-1.6366789,11.877443313598633,0.15000000000000008,-15.213012967790876,17.040849004473007,0.23350073,0.4241796,0.34231964
194,2531,0.7959931,11.679454803466797,0.05000000000000007,-14.921506987677681,20.413910759819878,0.2943734,0.33211017,0.37351647
195,2541,0.6924472,11.460556030273438,6.938893903907228e-17,-14.858821678161622,24.276018333435058,0.28339195,0.34167892,0.37492916
196,2549,-0.050373316,12.10406494140625,0.10000000000000007,-15.28769826889038,22.386203408241272,0.28004134,0.3413736,0.37858504
197,2556,-1.1165903,11.800931930541992,0.15000000000000008,-15.235025814601354,24.175409861973353,0.27185714,0.36700058,0.36114225
198,2564,-0.560745,12.085002899169922,0.10000000000000007,-15.457581162452698,20.71760606765747,0.28331283,0.35127193,0.3654153
199,2574,0.15256023,11.75634479522705,0.15000000000000002,-15.148473739624023,22.190426349639893,0.24759321,0.40684387,0.3455629
200,2592,4.813877,11.94411849975586,0.1999999999999999,-15.290823406643337,26.306953324211968,0.2524063,0.3962854,0.35130823
201,2610,4.8633184,12.292927742004395,0.05000000000000007,-15.676857577429878,25.713275485568577,0.2603338,0.38845587,0.3512103
