episode,total_steps,reward,avg_q,satisfaction,actor_loss,critic_loss,w_eng,w_sat,w_div,w_fair
1,12,6.5178432,0,-0.05,0,0,0.27549094,0.24108179,0.19324496,0.29018232
2,26,10.355997,0,0.29719429007042736,0,0,0.28091055,0.24955343,0.17384094,0.29569513
3,63,33.995094,0,-0.021789381568831118,0,0,0.27951184,0.24028598,0.1903419,0.28986025
4,68,2.823207,0,-0.02392083476247213,0,0,0.26661345,0.24477047,0.15499447,0.33362168
5,83,13.14499,0,0.06907249405768019,0,0,0.27490625,0.22882536,0.17001422,0.32625413
