episode,total_steps,reward,avg_q,satisfaction,actor_loss,critic_loss
1,20,-22.742094,0.0,0.1,0.0,0.0
2,30,-26.658876,0.0,6.938893903907228e-17,0.0,0.0
3,52,-0.73153305,0.0,0.15000000000000013,0.0,0.0
4,69,-18.21208,0.0,0.0,0.0,0.0
5,84,-10.181949,0.0,0.1,0.0,0.0
6,98,-10.113855,0.0,0.10000000000000002,0.0,0.0
7,105,-19.770096,0.0,0.15000000000000008,0.0,0.0
8,118,-17.277452,0.0,0.15000000000000008,0.0,0.0
9,126,-22.981337,0.0,0.10000000000000007,0.0,0.0
10,133,-14.889734,0.0,0.15000000000000008,0.0,0.0
11,143,-18.826517,0.0,0.15000000000000008,0.0,0.0
12,153,-24.897154,0.0,0.15000000000000008,0.0,0.0
13,163,-13.401299,0.0,6.938893903907228e-17,0.0,0.0
14,173,-10.862605,0.0,0.15000000000000013,0.0,0.0
15,181,-16.45043,0.0,0.10000000000000007,0.0,0.0
16,194,-18.022543,0.0,0.0,0.0,0.0
17,202,-13.388798,0.1493305116891861,0.10000000000000007,-1.4957194676001866,52.7929801940918
18,217,-20.88517,0.20803263783454895,0.0,-2.4574541091918944,88.31580912272135
19,224,-27.474304,0.2539200782775879,0.15000000000000008,-2.829350471496582,51.80307715279715
20,231,-24.200447,0.27362626791000366,0.15000000000000008,-2.9030139446258545,59.105989183698384
