episode,total_steps,reward,avg_q,satisfaction,actor_loss,critic_loss
1,10,-23.802143,0.0,0.15000000000000013,0.0,0.0
2,38,-15.170926,0.0,0.14999999999999974,0.0,0.0
3,47,-17.287304,0.0,0.05000000000000007,0.0,0.0
4,74,-24.936459,0.0,0.0,0.0,0.0
5,84,-9.313059,0.0,6.938893903907228e-17,0.0,0.0
6,91,-24.616915,0.0,0.15000000000000008,0.0,0.0
7,104,-23.601908,0.0,6.938893903907228e-17,0.0,0.0
8,122,-16.479776,0.0,0.05000000000000013,0.0,0.0
9,132,-28.135939,0.0,6.938893903907228e-17,0.0,0.0
10,149,-25.3452,0.0,0.10000000000000013,0.0,0.0
11,165,-23.206524,0.0,0.15000000000000008,0.0,0.0
12,175,-14.752013,0.0,0.15000000000000002,0.0,0.0
13,185,-7.8024597,0.0,0.15000000000000008,0.0,0.0
14,196,-14.486263,0.0,0.10000000000000013,0.0,0.0
15,203,-14.60331,-0.22979822754859924,0.15000000000000008,-1.4737226301804185,116.31573867797852
16,232,-14.644877,0.07422187179327011,0.0,-2.818660752526645,77.80476918713799
17,239,-22.86648,0.3092363178730011,0.15000000000000008,-3.2639483383723666,74.24376269749233
18,250,-17.225067,0.1426192671060562,0.10000000000000013,-3.2224112423983486,94.57787843184038
19,262,-16.623934,0.2074928879737854,0.05000000000000007,-3.218060553073883,85.34840393066406
20,277,-18.956678,0.3965310752391815,0.05000000000000007,-3.2807154655456543,89.22350463867187
21,287,-22.64627,0.27737897634506226,0.15000000000000008,-3.3617497205734255,85.38039932250976
22,297,-21.862371,0.3755722641944885,0.15000000000000002,-3.405039978027344,76.49301490783691
23,304,-21.689114,0.24932703375816345,0.15000000000000008,-3.3145081315721785,100.61385781424386
24,313,-19.947008,0.5642912983894348,0.05000000000000007,-3.445941580666436,60.08137342664931
25,327,-13.681715,0.9066222310066223,0.05,-3.682691420827593,68.36461148943219
26,343,-11.28488,0.9681578874588013,1.249000902703301e-16,-3.7975486665964127,85.93561220169067
27,359,-14.729347,0.6722033023834229,0.15000000000000008,-3.6784171760082245,72.88490664958954
28,386,-14.609829,0.9308766722679138,0.0,-3.9959124812373408,77.47105262897632
29,397,-19.18578,1.1710617542266846,0.10000000000000007,-4.2222207676280625,87.96347670121627
30,404,-26.050163,1.0618584156036377,0.15000000000000008,-4.1367506980896,80.02357755388532
