episode,total_steps,reward,avg_q,satisfaction,actor_loss,critic_loss,w_eng,w_sat,w_div
1,5011,1.321984,49.16465,0.0,-51.5087495283647,28.028175993399188,0.31603816,0.28397065,0.39999115
2,5020,0.5108392,49.00055,0.05000000000000007,-50.969000498453774,41.58480840259128,0.31721923,0.28673577,0.39604506
3,5035,2.353763,49.08396,0.0,-50.979322052001955,39.94762935241064,0.3116482,0.2794874,0.40886435
4,5050,-0.10119724,49.3886,0.0,-51.57446263631185,20.564780700206757,0.3413332,0.32177785,0.33688885
5,5059,-0.67576337,49.25082,0.05000000000000007,-51.4289542304145,41.91369015640683,0.33100283,0.3139409,0.35505626
6,5070,0.6645417,49.53742,0.0,-51.7652438770641,35.069324455477975,0.3218342,0.27844518,0.3997206
7,5077,0.32659578,49.722057,0.15000000000000008,-51.82734625680106,23.209116527012416,0.3086732,0.2695848,0.42174205
8,5084,-0.9719944,49.97579,0.15000000000000008,-52.04490498134068,11.468950859137944,0.33032572,0.30389848,0.36577576
9,5092,-1.0384706,49.59394,0.10000000000000007,-51.18175029754639,74.53419296815991,0.3351546,0.31185323,0.35299215
10,5106,1.6224694,49.49515,0.10000000000000019,-50.74739810398647,52.09500722799982,0.34850073,0.319011,0.33248827
11,5113,-0.19189739,49.83249,0.15000000000000008,-51.77221352713449,49.09190576417105,0.35172418,0.318377,0.3298989
12,5124,1.708909,50.186756,0.10000000000000007,-52.60643317482688,10.670301361517472,0.34461978,0.32030478,0.33507535
13,5132,-0.12472916,50.354256,0.10000000000000007,-53.10761642456055,32.50766870006919,0.3501676,0.31674814,0.33308423
14,5140,-0.567585,49.744553,0.10000000000000007,-53.20100736618042,78.53307738900185,0.32515505,0.3045051,0.3703399
15,5147,-0.42888927,50.39367,0.15000000000000008,-53.145118713378906,56.572105407714844,0.33451864,0.31738275,0.34809867
16,5167,2.7379713,49.82963,0.0,-51.92082920074463,70.15490661859512,0.3314949,0.31629235,0.35221282
17,5175,-1.850853,50.53162,0.10000000000000007,-52.61337327957153,21.48907981812954,0.31607458,0.28473604,0.3991894
18,5186,-1.0457959,50.46904,0.0,-52.7129960493608,29.244074415076863,0.33331528,0.31559095,0.3510938
19,5203,-0.40579367,50.335663,0.0,-52.844968010397515,38.00109224109089,0.32712612,0.29446507,0.37840885
20,5218,0.26458406,50.731827,0.0,-53.35290374755859,59.87796537876129,0.3275767,0.29922524,0.37319806
21,5226,-1.6861179,49.834743,0.10000000000000007,-53.692697048187256,61.44681058824062,0.30930188,0.26588187,0.4248163
22,5233,-1.8059595,50.24433,0.15000000000000008,-53.68279920305525,114.85023171561105,0.30906865,0.27655774,0.41437364
23,5248,-1.5686129,50.587456,0.0,-55.445753733317055,67.84484186172486,0.32123497,0.2974187,0.38134626
24,5260,-2.0200558,50.582546,0.0,-55.62490781148275,61.62933815519015,0.32544234,0.30575505,0.3688026
25,5268,-1.7916622,50.767555,0.10000000000000007,-55.34373760223389,88.74655646085739,0.31218117,0.27836978,0.4094491
26,5276,-2.0912418,50.8861,0.10000000000000007,-55.44497060775757,52.061861634254456,0.3550922,0.31204766,0.33286017
27,5284,-2.0251427,51.03589,0.10000000000000007,-54.022470474243164,30.820444978773594,0.31979772,0.30484766,0.37535468
28,5303,-1.8807307,51.332348,0.0,-52.64144576223273,56.76404788933302,0.31847206,0.2892964,0.39223152
29,5311,-1.9281523,51.524513,0.10000000000000007,-53.45588445663452,63.8696722984314,0.31525928,0.29328856,0.39145216
30,5323,-1.8388877,52.42925,0.0,-54.89386781056722,22.11091951529185,0.3320865,0.32464454,0.34326893
31,5330,-1.0888505,52.813152,0.15000000000000008,-54.91963686261858,37.20245344723974,0.3192165,0.28484678,0.3959367
32,5340,0.8382189,51.95527,0.15000000000000008,-54.734353637695314,79.42725477218627,0.3300124,0.3163106,0.35367703
33,5359,2.52553,51.884068,0.0,-54.258874592028164,72.13541790686156,0.34711498,0.31671748,0.33616763
34,5375,2.2930412,52.221817,0.15000000000000002,-54.9236044883728,59.9575429931283,0.34161818,0.31382674,0.34455514
35,5382,0.19369435,52.47767,0.15000000000000008,-55.3792975289481,36.366067341395784,0.3124838,0.2773571,0.41015917
36,5403,3.7523074,52.796154,0.0,-55.564002627418155,49.446480907145,0.3237489,0.29819417,0.37805697
37,5410,-0.95773876,53.07363,0.15000000000000008,-55.842974526541575,38.26221028396061,0.31286663,0.2720414,0.415092
38,5418,-1.0775807,52.647747,0.10000000000000007,-55.219597816467285,87.5545392036438,0.34161046,0.3148783,0.34351125
39,5429,-0.770596,53.59254,0.0,-55.991165507923476,9.740007942373103,0.31861752,0.25981146,0.42157102
40,5436,-0.8307414,52.923443,0.15000000000000008,-55.753147670200896,75.78736339296613,0.35282588,0.31515676,0.33201742
41,5450,1.7064102,53.62863,0.0,-56.483201435634065,38.95118245269571,0.35758433,0.30891398,0.33350173
42,5459,-0.05679941,53.80605,0.05000000000000007,-56.46242141723633,61.495225456025864,0.31573856,0.2701388,0.41412264
43,5478,4.7208266,53.344463,0.15000000000000008,-55.885340439645866,73.61451284508956,0.31930566,0.2918518,0.38884255
44,5485,-0.8595998,53.448994,0.15000000000000008,-55.862670353480745,126.68592269080025,0.31769857,0.26483327,0.41746822
45,5494,-1.4711828,53.383713,0.05000000000000007,-56.027750651041664,71.77087126837836,0.32683873,0.28746286,0.38569838
46,5505,0.9194236,53.850204,0.10000000000000007,-56.510168595747515,27.117845367301594,0.31716463,0.2617504,0.42108497
47,5517,-0.54350734,53.94134,0.0,-56.73972129821777,70.04025020202,0.32412672,0.27674246,0.39913085
48,5529,0.2768588,53.97228,0.0,-56.80070400238037,47.118076384067535,0.36569336,0.30797926,0.32632738
49,5539,1.0154562,54.242805,0.15000000000000013,-56.955057525634764,55.84331790208817,0.35247496,0.31784222,0.32968277
50,5546,-1.0688106,54.226677,0.15000000000000008,-56.98136411394392,53.52798424448286,0.3264093,0.28199393,0.3915968
