episode,total_steps,reward,accuracy,satisfaction,actor_loss,critic_loss
1,13,-0.75216436,0.38461538461538464,-0.05,0,0
2,16,-3.7073605,0.6666666666666666,0.29137286204753676,0,0
3,69,16.962624,0.5283018867924528,-0.05,0,0
4,86,3.0159903,0.7058823529411765,0.11566647696522757,0,0
5,93,-3.6140516,0.7142857142857143,-0.05,0,0
6,115,5.385206,0.5,0.18231428191624044,0,0
7,119,-4.2591577,0.25,0.2599331572618147,0,0
8,136,3.297153,0.35294117647058826,0.18400058529609736,0,0
9,144,-2.4190845,0.375,0.019036787511745118,0,0
10,162,3.7819061,0.2777777777777778,0.1726649028581831,0,0
11,166,-3.2549107,0.75,0.25428205803914733,0,0
12,181,-1.5172677,0.4,-0.05,0,0
13,197,2.470985,0.375,-0.04225907058271146,0,0
14,227,5.309899,0.6333333333333333,-0.05,0,0
15,250,1.5213246,0.391304347826087,0.05,0,0
16,262,-0.17559338,0.75,0.12722127598291355,0,0
17,268,-2.4601731,0.5,0.21065451224913256,0,0
18,272,-2.3661199,0.75,0.22788609345481076,0,0
19,299,8.594812,0.48148148148148145,0.0218343973070671,0,0
20,302,-4.606574,0.0,0.09883720316797058,0,0
21,318,4.267043,0.4375,0.14358294159127222,0,0
22,328,-1.718581,0.7,0.09869544343734842,0,0
23,332,-3.0071077,0.25,0.29573274606564903,0,0
24,343,-1.320055,0.36363636363636365,0.13047830896154133,0,0
25,357,1.4486918,0.42857142857142855,0.19583313952951886,0,0
26,378,2.2133064,0.47619047619047616,-0.01488931072808726,0,0
27,400,4.16108,0.45454545454545453,-0.05,0,0
28,409,0.67787695,0.8888888888888888,0.0876497485245301,0,0
29,453,13.705791,0.36363636363636365,-0.05,0,0
30,463,-1.2145143,0.6,-0.05,0,0
31,469,-3.50672,0.5,0.04064459018798633,0,0
32,482,1.4211845,0.38461538461538464,0.17913474242513427,0,0
33,494,-0.17887974,0.5,0.12532228746778723,0,0
34,504,-0.7216692,0.4,0.20962013513417976,0,0
35,524,5.1079397,0.55,0.18421526720465203,0,0
36,540,1.9316702,0.4375,0.13249905960233826,0,0
37,563,5.777014,0.43478260869565216,0.028439548742872685,0,0
38,569,-1.7408218,0.3333333333333333,0.20149141482964256,0,0
39,580,-2.3368778,0.45454545454545453,-0.05,0,0
40,595,0.30281496,0.26666666666666666,-0.05,0,0
41,607,-0.058711052,0.5,0.17736375177922326,0,0
42,612,-3.7459536,0.4,0.16277687761562337,0,0
43,624,-2.1365168,0.4166666666666667,-0.05,0,0
44,630,-4.4579983,0.16666666666666666,0.0412451836018054,0,0
45,639,-0.48321295,0.5555555555555556,0.16811765380170074,0,0
46,649,-1.7923656,0.5,0.029249947389604222,0,0
47,661,-1.3533394,0.4166666666666667,-0.05,0,0
48,669,-2.1202073,0.75,-0.020628294267790833,0,0
49,691,5.9350624,0.45454545454545453,0.18620792244035506,0,0
50,704,-2.6095743,0.23076923076923078,0.023878212593934203,0,0
