episode,total_steps,reward,avg_q,satisfaction,actor_loss,critic_loss,w_eng,w_sat,w_div
1,50,22.460203,0,0.20999999999999927,0,0,0.35912573,0.32520702,0.31566724
2,54,-2.175519,0,0.10000000000000003,0,0,0.34195718,0.34363002,0.31441274
3,104,24.920664,0,0.5499999999999993,0,0,0.37933007,0.32051274,0.30015722
4,119,0.98244023,0,0.0,0,0,0.3463848,0.3496997,0.3039155
5,166,17.04151,0,0.0999999999999994,0,0,0.35113582,0.34091574,0.3079485
6,185,3.943282,0,2.3592239273284576e-16,0,0,0.34288657,0.33930543,0.31780803
7,189,-2.1643307,0,0.10000000000000003,0,0,0.3415465,0.3429716,0.31548193
8,199,-0.09812975,0,6.938893903907228e-17,0,0,0.36513802,0.32991552,0.30494642
9,206,-0.7784405,0,0.15000000000000008,0,0,0.33720258,0.3400603,0.32273713
10,256,25.807999,0,0.6499999999999994,0,0,0.35968742,0.32643715,0.31387538
