episode,total_steps,reward,accuracy,satisfaction,actor_loss,critic_loss
1,9,3.0293305,0.2222222222222222,0.18473070238295985,0,0
2,68,46.275753,0.4915254237288136,0.22998069973865826,0,0
3,80,6.2109027,0.25,0.1766980915957725,0,0
4,87,2.3586879,0.2857142857142857,0.1628917029984051,0,0
5,106,13.964117,0.47368421052631576,0.15,0,0
6,113,3.3240135,0.0,-0.034337220471846785,0,0
7,123,3.3316715,0.3,0.05757293061831145,0,0
8,150,19.768991,0.4444444444444444,0.04028845428908691,0,0
9,168,10.272079,0.4444444444444444,0.09837949311737747,0,0
10,188,14.3675,0.45,0.16935881641299405,0,0
11,200,7.2851524,0.5,0.12633174722858848,0,0
12,213,6.039155,0.3076923076923077,-0.05,0,0
13,225,8.234505,0.4166666666666667,-0.05,0,0
14,233,2.122973,0.25,0.1556492340133644,0,0
15,240,1.5973644,0.2857142857142857,0.18200105209208517,0,0
16,252,7.5700564,0.5,0.14184322523612564,0,0
17,264,6.825076,0.4166666666666667,-0.0006430354575258784,0,0
18,269,1.4010096,0.2,0.2930734930970712,0,0
19,295,16.118643,0.46153846153846156,0.1476640815417371,0,0
20,305,3.4360838,0.4,0.006189320312889185,0,0
21,327,14.953412,0.4090909090909091,0.09448109720035729,0,0
22,338,5.2624626,0.36363636363636365,0.12744620157614583,0,0
23,346,3.4421256,0.5,0.10182727042082208,0,0
24,379,26.942242,0.42424242424242425,0.09577458932335693,0,0
25,395,8.103468,0.375,-0.03469750609360309,0,0
26,408,7.948308,0.6923076923076923,0.061917881062911656,0,0
27,416,4.064497,0.5,0.14664150788359015,0,0
28,422,2.0206513,0.5,0.09597150481629134,0,0
29,473,49.33564,0.49019607843137253,0.17486983059438038,0,0
30,491,15.110896,0.5,0.26034444486111635,0,0
31,509,8.923501,0.16666666666666666,0.04649125590220579,0,0
32,518,2.0312345,0.2222222222222222,0.08428552323463466,0,0
33,536,11.764288,0.3888888888888889,0.08566447719225902,0,0
34,575,36.606617,0.6410256410256411,0.015262616106811691,0,0
35,604,20.739927,0.41379310344827586,0.09561500724848741,0,0
36,616,7.3951616,0.3333333333333333,-0.03050654824530436,0,0
37,637,13.709734,0.5238095238095238,0.07884861221127036,0,0
38,678,34.430935,0.43902439024390244,-0.05,0,0
39,697,11.7156725,0.3157894736842105,-0.05,0,0
40,708,6.5269165,0.2727272727272727,0.13638543806236053,0,0
41,714,1.1918147,0.3333333333333333,0.09630154468902356,0,0
42,770,42.123535,0.42857142857142855,-0.05,0,0
43,777,1.858489,0.42857142857142855,0.14855621769278893,0,0
44,788,6.0357656,0.45454545454545453,0.09227494392253353,0,0
45,798,5.4533696,0.6,0.12513833105987787,0,0
46,808,5.8114157,0.4,0.1701175206281263,0,0
47,824,8.915778,0.5,0.13756206922285907,0,0
48,847,16.849962,0.391304347826087,0.09960109195177456,0,0
49,870,18.113914,0.43478260869565216,0.14953424407755628,0,0
50,877,2.7454362,0.5714285714285714,0.2720555437314436,0,0
