episode,total_steps,reward,avg_q,satisfaction,actor_loss,critic_loss
1,19,-22.677902,0.0,0.1,0.0,0.0
2,31,-14.833301,0.0,0.0,0.0,0.0
3,55,-10.746719,0.0,0.0,0.0,0.0
4,69,-11.811967,0.0,0.0,0.0,0.0
5,80,-12.609766,0.0,0.10000000000000007,0.0,0.0
6,94,-21.65467,0.0,0.10000000000000019,0.0,0.0
7,101,-17.635918,0.0,0.15000000000000008,0.0,0.0
8,131,-13.319864,0.0,0.0,0.0,0.0
9,147,-21.121275,0.0,0.15000000000000013,0.0,0.0
10,155,-18.742174,0.0,0.10000000000000007,0.0,0.0
11,165,-23.931257,0.0,6.938893903907228e-17,0.0,0.0
12,173,-25.785433,0.0,0.10000000000000007,0.0,0.0
13,196,-24.209978,0.0,0.0,0.0,0.0
14,208,-17.09642,-0.18245737254619598,0.05000000000000007,-1.961888023962577,58.74501461452908
15,219,-22.24953,0.3667047619819641,0.10000000000000007,-2.8586872924457896,63.08646228096702
16,229,-20.294415,0.6109264492988586,0.15000000000000008,-2.8921966552734375,63.81243076324463
17,236,-22.2457,0.6002182364463806,0.15000000000000008,-2.936152151652745,62.406908307756694
18,249,-13.962451,0.653223991394043,0.15000000000000002,-3.0682820540208082,62.51354012122521
19,262,-9.987194,0.6972952485084534,0.15000000000000008,-3.197926924778865,69.15681831653302
20,270,-12.453375,0.734664261341095,0.10000000000000007,-3.196609377861023,79.9752607345581
21,283,-25.432053,0.7288734912872314,0.1500000000000002,-3.1753518397991476,57.64455765944261
22,290,-16.763433,0.8625535368919373,0.15000000000000008,-3.2570115498134067,53.49516759599958
23,308,-17.383461,0.808137059211731,0.0,-3.3130719661712646,71.90603552924262
24,316,-10.409943,0.783615231513977,0.10000000000000007,-3.4141233563423157,86.88749027252197
25,327,-8.711569,0.7486873269081116,0.10000000000000007,-3.241152199831876,71.46459197998047
26,350,-8.645081,0.9037059545516968,0.10000000000000002,-3.3850094857423203,70.64209465358569
27,363,-22.851482,0.8569132685661316,0.15000000000000013,-3.4318918815025916,72.18500093313364
28,374,-22.12569,0.9462509155273438,0.10000000000000007,-3.548604380000721,71.20388967340642
29,386,-18.24163,1.0582443475723267,0.05000000000000007,-3.698375324408213,68.49248091379802
30,403,-20.20201,0.9435523748397827,0.0,-3.757100413827335,94.00558247285731
