episode,total_steps,reward,avg_q,satisfaction,actor_loss,critic_loss
1,13,-17.65,0.0,6.938893903907228e-17,0.0,0.0
2,26,-15.600000000000001,0.0,0.15000000000000008,0.0,0.0
3,37,-17.375,0.0,0.10000000000000007,0.0,0.0
4,51,-15.474999999999998,0.0,0.10000000000000007,0.0,0.0
5,65,-16.45,0.0,0.10000000000000007,0.0,0.0
6,82,-16.125,0.0,0.0,0.0,0.0
7,100,-14.600000000000001,0.0,0.05000000000000013,0.0,0.0
8,126,-7.800000000000001,0.0,0.09999999999999985,0.0,0.0
9,138,-17.825,0.0,0.1,0.0,0.0
10,162,-14.0,0.0,0.0,0.0,0.0
11,182,-14.375,0.0,0.0,0.0,0.0
12,189,-18.95,0.0,0.15000000000000008,0.0,0.0
13,198,-18.875,0.0,0.05000000000000007,0.0,0.0
14,212,-15.7,0.24008813500404358,0.10000000000000007,-2.18794695689128,65.39333548912636
15,222,-18.875,0.4829238951206207,6.938893903907228e-17,-3.0440154552459715,48.3005033493042
16,229,-18.95,0.4521288275718689,0.15000000000000008,-3.2696444307054793,72.15901020595005
17,242,-16.200000000000003,0.22792360186576843,0.15000000000000013,-3.049911755781907,60.74696878286508
18,252,-17.5,0.292544424533844,0.15000000000000013,-3.135500907897949,69.85084838867188
19,263,-17.375,0.5148988962173462,0.10000000000000007,-3.204403118653731,56.700505690141156
20,278,-17.5,0.5548021793365479,0.0,-3.3788949330647786,65.1722511291504
21,289,-18.875,0.6483563780784607,0.0,-3.507625861601396,55.299569910222836
22,306,-14.099999999999998,0.7604401111602783,0.10000000000000002,-3.7120570575489715,61.203860114602485
23,323,-16.65,1.097311019897461,0.0,-3.9360421545365276,50.57301038854263
24,330,-18.95,1.2850383520126343,0.15000000000000008,-4.01860363142831,59.894804273332866
25,338,-18.9,1.1799824237823486,0.10000000000000007,-3.75712850689888,61.8278284072876
26,345,-18.95,1.0206817388534546,0.15000000000000008,-3.647951909473964,64.73568398611886
27,354,-18.875,0.858562707901001,0.05000000000000007,-3.768883122338189,71.35658348931207
28,364,-18.875,0.945625901222229,6.938893903907228e-17,-3.839280295372009,59.84486045837402
29,390,-9.000000000000002,1.128867506980896,0.10000000000000007,-4.0840772573764506,66.95724986149715
30,399,-18.875,1.1431512832641602,0.05000000000000007,-3.9740823374854193,70.29820336235895
31,406,-18.95,1.0452743768692017,0.15000000000000008,-3.900177376610892,64.68802969796317
32,431,-10.649999999999997,1.353159785270691,1.8041124150158794e-16,-4.0978977012634275,68.17672351837159
33,442,-18.875,1.1004154682159424,0.0,-4.05536023053256,77.82955013621937
34,456,-15.849999999999998,1.011957049369812,0.10000000000000013,-4.176444888114929,70.35048021589007
35,464,-18.9,1.5323961973190308,0.10000000000000007,-4.571175694465637,51.23044681549072
36,472,-18.9,1.7318015098571777,0.10000000000000007,-4.572009205818176,68.10311222076416
37,482,-17.125,1.5955525636672974,0.15000000000000002,-4.403965282440185,76.59044036865234
38,489,-18.95,1.6083611249923706,0.15000000000000008,-4.3845029558454245,54.068608965192524
39,498,-18.875,1.6751052141189575,0.05000000000000007,-4.528776910569933,70.74906942579481
40,508,-18.875,1.784123420715332,6.938893903907228e-17,-4.644800281524658,66.29734916687012
41,516,-18.9,1.8444745540618896,0.10000000000000007,-4.7230613231658936,70.12288665771484
42,525,-18.875,1.8695435523986816,0.05000000000000007,-4.8033970726860895,56.43534935845269
43,532,-18.95,2.039883852005005,0.15000000000000008,-4.783436979566302,65.52349526541573
44,539,-18.95,1.8337589502334595,0.15000000000000008,-4.484632423945835,92.71257890973773
45,551,-17.575000000000003,1.6644340753555298,0.05000000000000013,-4.4187097152074175,79.75773429870605
46,564,-18.875,1.7890809774398804,0.0,-4.627887579110952,79.79472175011269
47,574,-18.875,1.7847455739974976,6.938893903907228e-17,-4.666711473464966,87.49695663452148
48,635,10.675000000000004,1.6114261150360107,0.15000000000000024,-4.509810580581915,81.06846046447754
49,657,-11.325,2.145564556121826,0.1500000000000002,-5.025176763534546,69.08896532925692
50,668,-18.875,2.2165234088897705,0.0,-5.00629303672097,87.34078875454989
51,675,-18.95,2.122196674346924,0.15000000000000008,-4.973045349121094,93.17847333635602
52,685,-17.2,1.983069658279419,0.15000000000000008,-4.859156799316406,82.06559715270996
53,703,-12.325,2.0759763717651367,0.19999999999999996,-4.811782386567858,90.03710301717122
54,734,-6.750000000000002,2.4356794357299805,0.15000000000000008,-5.243644160609091,71.4182862312563
55,745,-17.674999999999997,3.0130951404571533,0.10000000000000007,-5.795534133911133,71.8748612837358
56,756,-17.075,2.699538230895996,0.10000000000000002,-5.536124836314809,61.99542305686257
57,771,-17.8,2.6844446659088135,0.0,-5.518595377604167,82.86565119425455
58,781,-18.875,2.4218239784240723,6.938893903907228e-17,-5.382431364059448,88.71604461669922
59,794,-16.275,2.811199426651001,0.15000000000000013,-5.651718653165377,83.33005494337816
60,812,-13.925,3.021554708480835,0.05000000000000002,-5.93393071492513,57.999463399251304
61,820,-18.9,3.1889331340789795,0.10000000000000007,-6.228034973144531,66.4673399925232
62,833,-15.9,3.246941089630127,0.15000000000000013,-6.137046850644625,88.86861038208008
63,843,-18.875,2.936509847640991,6.938893903907228e-17,-5.765475463867188,89.67238540649414
64,857,-17.125,2.869450807571411,0.0,-5.767070531845093,84.85821151733398
65,864,-18.95,2.7836215496063232,0.15000000000000008,-5.75128310067313,78.12405341012138
66,887,-10.899999999999999,3.2638304233551025,0.1,-6.142887074014415,81.70403969806173
67,910,-14.924999999999999,2.99613356590271,0.1,-5.952190399169922,82.6904537366784
68,918,-18.9,3.211954116821289,0.10000000000000007,-6.294571399688721,65.84330654144287
69,929,-17.525,3.0739312171936035,0.10000000000000007,-6.111660870638761,101.03345662897283
70,942,-15.75,3.3206212520599365,0.15000000000000013,-6.4849425829373875,70.348023047814
71,955,-15.825000000000001,3.6110148429870605,0.15000000000000008,-6.583435241992657,76.53711524376503
72,974,-16.2,3.4776642322540283,0.0,-6.393711667311819,83.7266768405312
73,981,-18.95,3.855989694595337,0.15000000000000008,-6.707458768572126,71.49082728794643
74,990,-18.875,3.6513638496398926,0.05000000000000007,-6.528695636325413,78.01949416266547
75,1013,-9.550000000000002,3.871612787246704,0.09999999999999974,-6.85734744693922,83.50999666296917
76,1025,-18.875,3.5159311294555664,0.0,-6.414696296056111,82.6262747446696
77,1032,-18.95,3.772658586502075,0.15000000000000008,-6.816277163369315,84.91670989990234
78,1043,-17.525,3.7271347045898438,0.10000000000000007,-6.8754864172502,102.36916767467152
79,1056,-16.425,3.649275779724121,0.15000000000000013,-6.68898501762977,98.34769498384915
80,1067,-18.875,3.4692800045013428,0.0,-6.5615646622397685,99.16060811823064
81,1077,-17.5,3.7762763500213623,0.15000000000000013,-6.646877956390381,77.99290294647217
82,1088,-17.075,3.965878963470459,0.10000000000000002,-6.914230996912176,74.97728763927113
83,1096,-18.9,4.3193230628967285,0.10000000000000007,-7.237232208251953,91.92574393749237
84,1114,-14.225000000000001,4.352518558502197,0.05000000000000007,-7.413254393471612,87.57848676045735
85,1122,-18.9,4.5061235427856445,0.10000000000000007,-7.5500651597976685,88.73835849761963
86,1132,-17.575,4.077883243560791,0.15000000000000008,-7.094377565383911,110.39608764648438
87,1156,-12.95,4.210770130157471,0.1,-7.311806738376617,82.41437005996704
88,1166,-17.35,4.354311466217041,0.15000000000000013,-7.34100489616394,97.33271522521973
89,1174,-18.9,4.275813102722168,0.10000000000000007,-7.275817334651947,106.78091812133789
90,1184,-18.875,4.279783725738525,6.938893903907228e-17,-7.348826217651367,89.91462097167968
91,1197,-18.875,4.369204044342041,0.0,-7.561369199019212,80.038938669058
92,1204,-18.95,4.818612098693848,0.15000000000000008,-7.857463496071952,104.979553767613
93,1241,-2.7250000000000014,4.447870254516602,0.15000000000000002,-7.647273527609335,97.52882849203574
94,1260,-12.700000000000001,5.038949489593506,0.15000000000000008,-8.231900441019159,88.17243455585681
95,1269,-18.875,5.179201602935791,0.05000000000000007,-8.2968061765035,107.03463829888238
96,1277,-18.9,4.874729633331299,0.10000000000000007,-8.126566410064697,124.76370906829834
97,1305,-13.975000000000001,4.936009407043457,0.05,-8.214332750865392,99.2870740890503
98,1318,-18.875,5.13133430480957,0.0,-8.226478136502779,89.83841294508714
99,1329,-18.875,4.834238052368164,0.0,-7.898381493308327,100.82503162730823
100,1346,-18.875,5.213946342468262,0.0,-8.409744711483226,94.26082454008214
101,1356,-17.5,5.619269371032715,0.15000000000000013,-8.828158283233643,102.1096694946289
102,1366,-18.875,5.536524772644043,6.938893903907228e-17,-8.582668781280518,93.47311096191406
103,1376,-17.125,5.705471992492676,0.15000000000000002,-8.904062366485595,83.10050086975097
104,1386,-18.875,5.634325981140137,6.938893903907228e-17,-8.833404445648194,103.00368728637696
105,1403,-15.675,5.284221649169922,0.0,-8.45571481480318,106.37029984418083
106,1414,-17.299999999999997,5.575867176055908,0.10000000000000013,-8.719384323466908,112.26556569879705
107,1433,-12.100000000000001,5.952259540557861,0.15000000000000008,-9.081280256572523,86.85371920936986
108,1442,-18.875,5.628357887268066,0.05000000000000007,-8.831009652879503,102.9040756225586
109,1452,-18.875,5.787718296051025,6.938893903907228e-17,-8.986552524566651,109.79282760620117
110,1459,-18.95,5.467384338378906,0.15000000000000008,-8.589245319366455,127.86948612758091
111,1470,-17.299999999999997,5.576672077178955,0.10000000000000013,-8.73027177290483,103.10747372020374
112,1490,-14.6,6.2076520919799805,0.0,-9.392039108276368,93.5357452392578
113,1505,-18.875,6.5091872215271,0.0,-9.623698234558105,87.81736628214519
114,1514,-18.875,5.954610824584961,0.05000000000000007,-9.129003630744087,107.88011254204645
115,1525,-18.875,5.908853054046631,0.0,-9.190206527709961,99.22221062400125
116,1545,-14.825,6.3299384117126465,0.0,-9.537051248550416,112.00636444091796
117,1555,-17.2,5.9534430503845215,0.15000000000000008,-9.082497882843018,101.8159423828125
118,1572,-14.624999999999998,6.536102294921875,0.10000000000000024,-9.773060854743509,92.52338947969325
